Date Local,Average Temperature,Ozone Arithmetic Mean,State Name,City Name,Site Num,Carbon Arithmetic Mean,tmax,tmin,prcp,Year
2001-05-18,63.0,0.01217625,District Of Columbia,Washington,25,1.08020825,67.0,59.0,0.08,2001
2001-05-19,68.5,0.01794125,District Of Columbia,Washington,25,1.27812475,75.0,62.0,0.76,2001
2001-05-20,62.5,0.030691,District Of Columbia,Washington,25,1.31041675,68.0,57.0,0.11,2001
2001-05-21,60.0,0.01770575,District Of Columbia,Washington,25,1.44687525,63.0,57.0,0.19,2001
2001-05-22,69.5,0.02188225,District Of Columbia,Washington,25,1.1883935,78.0,61.0,0.82,2001
2001-05-23,66.0,0.03048525,District Of Columbia,Washington,25,0.940625,76.0,56.0,0.0,2001
2001-05-24,67.0,0.047161999999999996,District Of Columbia,Washington,25,1.22187475,79.0,55.0,0.0,2001
2001-05-25,68.0,0.036485500000000004,District Of Columbia,Washington,25,0.984375,74.0,62.0,0.52,2001
2001-05-26,63.5,0.02991175,District Of Columbia,Washington,25,0.9347219999999999,65.0,62.0,1.07,2001
2001-05-27,68.0,0.03375,District Of Columbia,Washington,25,0.99791675,75.0,61.0,0.1,2001
2001-05-28,66.5,0.029294333333333335,District Of Columbia,Washington,25,0.98125025,74.0,59.0,0.0,2001
2001-05-29,68.5,0.0389685,District Of Columbia,Washington,25,1.10004525,77.0,60.0,0.0,2001
2001-05-30,65.0,0.030426250000000002,District Of Columbia,Washington,25,0.85262675,71.0,59.0,0.0,2001
2001-05-31,60.0,0.02280875,District Of Columbia,Washington,25,0.8135414999999999,70.0,50.0,0.0,2001
2001-06-01,60.5,0.0216615,District Of Columbia,Washington,25,1.28749975,67.0,54.0,0.52,2001
2001-06-02,71.5,0.030647,District Of Columbia,Washington,25,0.978125,78.0,65.0,0.0,2001
2001-06-03,65.5,0.026485250000000002,District Of Columbia,Washington,25,0.76666675,73.0,58.0,0.0,2001
2001-06-04,67.5,0.033514749999999996,District Of Columbia,Washington,25,0.8020835,77.0,58.0,0.17,2001
2001-06-05,71.5,0.0395,District Of Columbia,Washington,25,0.9463065,80.0,63.0,0.07,2001
